CVE-2021-20197	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20197
CVE-2021-20284	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20284
CVE-2021-32256	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-32256
CVE-2021-3530	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3530
CVE-2021-3549	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3549
CVE-2021-3826	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3826
CVE-2021-45078	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-45078
CVE-2021-46174	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46174
CVE-2021-46195	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46195
CVE-2022-35205	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35205
CVE-2022-35206	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35206
CVE-2022-38533	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-38533
CVE-2022-4285	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-4285
CVE-2022-44840	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-44840
CVE-2022-45703	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-45703
CVE-2022-47007	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47007
CVE-2022-47008	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47008
CVE-2022-47010	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47010
CVE-2022-47011	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47011
CVE-2022-47673	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47673
CVE-2022-47695	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47695
CVE-2022-47696	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47696
CVE-2022-48063	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48063
CVE-2022-48064	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48064
CVE-2022-48065	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48065
CVE-2023-1579	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1579
CVE-2023-1972	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1972
CVE-2023-25584	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25584
CVE-2023-25585	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25585
CVE-2023-25586	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25586
CVE-2023-25588	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25588
CVE-2024-53589	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-53589
CVE-2024-57360	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-57360
CVE-2025-0840	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-0840
CVE-2025-11081	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11081
CVE-2025-11082	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11082
CVE-2025-11083	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11083
CVE-2025-1147	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1147
CVE-2025-1148	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1148
CVE-2025-1149	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1149
CVE-2025-1150	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1150
CVE-2025-1151	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1151
CVE-2025-1152	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1152
CVE-2025-1153	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1153
CVE-2025-1176	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1176
CVE-2025-1178	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1178
CVE-2025-1179	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1179
CVE-2025-1180	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1180
CVE-2025-1181	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1181
CVE-2025-1182	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1182
CVE-2025-3198	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-3198
CVE-2025-5244	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5244
CVE-2025-5245	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5245
CVE-2025-7545	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7545
CVE-2025-7546	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7546
CVE-2025-8224	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8224
CVE-2025-8225	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8225
CVE-2021-3995	bsdutils	1:2.36.1-8	2.36.1-8+deb11u1	MEDIUM	https://avd.aquasec.com/nvd/cve-2021-3995
CVE-2021-3996	bsdutils	1:2.36.1-8	2.36.1-8+deb11u1	MEDIUM	https://avd.aquasec.com/nvd/cve-2021-3996
CVE-2024-28085	bsdutils	1:2.36.1-8	2.36.1-8+deb11u2	MEDIUM	https://avd.aquasec.com/nvd/cve-2024-28085
CVE-2022-0563	bsdutils	1:2.36.1-8		LOW	https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2016-2781	coreutils	8.32-4+b1		LOW	https://avd.aquasec.com/nvd/cve-2016-2781
CVE-2017-18018	coreutils	8.32-4+b1		LOW	https://avd.aquasec.com/nvd/cve-2017-18018
CVE-2025-5278	coreutils	8.32-4+b1		LOW	https://avd.aquasec.com/nvd/cve-2025-5278
CVE-2023-4039	cpp-10	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2022-3219	dirmngr	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	dirmngr	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-1664	dpkg	1.20.9	1.20.10	CRITICAL	https://avd.aquasec.com/nvd/cve-2022-1664
CVE-2025-6297	dpkg	1.20.9		LOW	https://avd.aquasec.com/nvd/cve-2025-6297
CVE-2025-6297	dpkg-dev	1.20.13		LOW	https://avd.aquasec.com/nvd/cve-2025-6297
CVE-2022-1304	e2fsprogs	1.46.2-2	1.46.2-2+deb11u1	HIGH	https://avd.aquasec.com/nvd/cve-2022-1304
CVE-2023-4039	g++-10	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2023-4039	gcc-10	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2023-4039	gcc-10-base	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2023-4039	gcc-9-base	9.3.0-22		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2022-3219	gnupg	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gnupg	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gnupg-l10n	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gnupg-l10n	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gnupg-utils	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gnupg-utils	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpg	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpg	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpg-agent	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpg-agent	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpg-wks-client	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpg-wks-client	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpg-wks-server	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpg-wks-server	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpgconf	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpgconf	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpgsm	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2025-30258	gpgsm	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-3219	gpgv	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2022-3219
